Num Clients,Version 1,Version 2,Version 3,Version 4,Version 5
10,4.555996,4.001521,4.280308,4.93344,4.9432
20,5.040966,5.443122,10.155241,9.68107,9.31145
40,6.0332023,6.547793,15.012177,11.3548,13.7991
80,9.54905349,7.0229534,17.285337,16.1963,19.7999
100,9.81251234,6.9510808,18.237232,17.8709,21.4027
200,11.02214359,7.5346308,20.0442716,18.0783,23.6315
