Num Clients,Throughput,Avg Response Time,Requests Sent Rate,Successful Requests Rate,Timeout Requests Rate,Error Requests Rate,Average Active Threads,Overall CPU Utilization
10,10.31,1.01,10.31,1.03,0.0,0.0,1.0,13.0
20,17.06,1.55,17.06,0.85,0.0,0.0,1.0,12.0
40,31.21,4.32,31.21,0.78,0.0,0.0,1.0,12.0
80,43.58,7.77,43.9,0.54,0.32,0.0,1.0,12.0
100,37.9,8.55,38.21,0.37,0.31,0.0,1.0,12.0
200,135.8,5.65,136.1,0.67,0.22,0.08,1.0,13.0
