Num Clients,Version 1,Version 2,Version 3
10,8.79,5.47,20.28
20,17.69,7.38,22.71
40,19.53,7.25,24.67
80,40.18,7.27,22.72
100,37.92,7.06,21.72
200,94.08,6.44,20.17
