Number of Clients,Response Time (seconds),Throughput,CPU Utilization
10,2.027,4.93344,60
20,2.066,9.68107,100
40,3.77525,11.3548,100
80,5.86562,16.1963,100
100,6.8644,17.8709,100
200,13.138,18.0783,100
300,17.4119,20.9423,100
400,26.4198,17.6714,100
