Num Clients,Version 1,Version 2,Version 3
10,1.16,1.81,0.49
20,1.22,2.68,0.89
40,3.91,5.3,1.69
80,9.34,10.28,3.61
100,18.19,12.78,4.69
200,16.7,26.29,9.8
